Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CRNLAP	C	R	N	L	A	P	12507	4	Yes	
CRNLAS	C	R	N	L	A	S	75	1	Yes	
CRNLCL	C	R	N	L	C	L	664	8	Yes	
CRNLCM	C	R	N	L	C	M	118	8	Yes	
CRNLCP	C	R	N	L	C	P	51	4	Yes	
CRNLIL	C	R	N	L	I	L	1642	8	Yes	
CRNLIM	C	R	N	L	I	M	4812	8	Yes	
CRNLIP	C	R	N	L	I	P	3746	4	Yes	
CRNLIS	C	R	N	L	I	S	203	1	Yes	
CRNLLL	C	R	N	L	L	L	926	8	Yes	
CRNLLM	C	R	N	L	L	M	4120	8	Yes	
CRNLLP	C	R	N	L	L	P	4114	4	Yes	
CRNLNN	C	R	N	L	N	N	3495	not found	Yes	
CRNLPM	C	R	N	L	P	M	72	8	Yes	
CRNLPP	C	R	N	L	P	P	94	not found	Yes	
CRNLWL	C	R	N	L	W	L	754	8	Yes	
CRNLWM	C	R	N	L	W	M	461	8	Yes	
CRNLWP	C	R	N	L	W	P	185	4	Yes	
CRNRAL	C	R	N	R	A	L	445	9	Yes	
CRNRAM	C	R	N	R	A	M	1018	8	Yes	
CRNRAP	C	R	N	R	A	P	722	4	Yes	
CRNRAS	C	R	N	R	A	S	575	1	Yes	
CRNRIL	C	R	N	R	I	L	301	8	Yes	
CRNRIM	C	R	N	R	I	M	610	8	Yes	
CRNRIP	C	R	N	R	I	P	533	4	Yes	
CRNRIS	C	R	N	R	I	S	157	1	Yes	
CRNRLL	C	R	N	R	L	L	61	8	Yes	
CRNRLM	C	R	N	R	L	M	254	8	Yes	
CRNRLP	C	R	N	R	L	P	355	4	Yes	
CRNRNN	C	R	N	R	N	N	2606	not found	Yes	
CRNRPM	C	R	N	R	P	M	90	8	Yes	
CRNRWL	C	R	N	R	W	L	69	8	Yes	
CRNRWM	C	R	N	R	W	M	192	8	Yes	
CROCAL	C	R	O	C	A	L	164	9	Yes	
CROCAM	C	R	O	C	A	M	371	8	Yes	
CROCAP	C	R	O	C	A	P	688	4	Yes	
CROCIL	C	R	O	C	I	L	370	8	Yes	
CROCIM	C	R	O	C	I	M	300	8	Yes	
CROCIP	C	R	O	C	I	P	357	4	Yes	
CROCLL	C	R	O	C	L	L	93	8	Yes	
CROCLM	C	R	O	C	L	M	189	8	Yes	
CROCLP	C	R	O	C	L	P	269	4	Yes	
CROHAL	C	R	O	H	A	L	306	9	Yes	
CROHAM	C	R	O	H	A	M	242	8	Yes	
CROHAP	C	R	O	H	A	P	383	4	Yes	
CROHIL	C	R	O	H	I	L	229	8	Yes	
CROHIM	C	R	O	H	I	M	138	8	Yes	
CROHIP	C	R	O	H	I	P	173	4	Yes	
CROHLL	C	R	O	H	L	L	250	8	Yes	
CROHLM	C	R	O	H	L	M	182	8	Yes	
CROHLP	C	R	O	H	L	P	189	4	Yes	
CROLAL	C	R	O	L	A	L	356	9	Yes	
CROLAM	C	R	O	L	A	M	429	8	Yes	
CROLAP	C	R	O	L	A	P	1797	4	Yes	
