Index	Name	Value	Reduced Cost
1168	x_U,N,N,H,W,L,0	73.72	 
1172	x_U,N,N,H,W,L,4	2.28	 
1173	x_U,N,N,H,C,L,0	149.38	 
1177	x_U,N,N,H,C,L,4	4.62	 
1178	x_U,N,N,R,W,L,0	113.49	 
1182	x_U,N,N,R,W,L,4	3.51	 
1183	x_U,N,N,R,C,L,0	238.62	 
1187	x_U,N,N,R,C,L,4	7.38	 
1188	x_U,N,O,H,W,L,0	345.32	 
1192	x_U,N,O,H,W,L,4	10.68	 
1193	x_U,N,O,H,C,L,0	805.1	 
1197	x_U,N,O,H,C,L,4	24.9	 
1198	x_U,N,O,R,W,L,0	287.12	 
1202	x_U,N,O,R,W,L,4	8.88	 
1203	x_U,N,O,R,C,M,0	78.57	 
1207	x_U,N,O,R,C,M,4	2.43	 
1208	x_U,N,O,R,C,L,0	924.41	 
1212	x_U,N,O,R,C,L,4	28.59	 
1213	x_U,N,P,H,W,L,0	260.93	 
1217	x_U,N,P,H,W,L,4	8.07	 
1218	x_U,N,P,H,C,L,0	492.76	 
1222	x_U,N,P,H,C,L,4	15.24	 
1225	x_U,N,P,H,A,L,2	62.08	 
1227	x_U,N,P,H,A,L,4	1.92	 
1228	x_U,N,P,R,W,L,0	491.79	 
1232	x_U,N,P,R,W,L,4	15.21	 
1236	x_U,N,P,R,C,S,3	54.32	 
1237	x_U,N,P,R,C,S,4	1.68	 
1240	x_U,N,P,R,C,M,2	59.17	 
1242	x_U,N,P,R,C,M,4	1.83	 
1243	x_U,N,P,R,C,L,0	977.76	 
1247	x_U,N,P,R,C,L,4	30.24	 
1250	x_U,N,P,R,A,L,2	100.88	 
1252	x_U,N,P,R,A,L,4	3.12	 
1256	x_U,N,S,H,W,S,3	1131.02	 
1257	x_U,N,S,H,W,S,4	34.98	 
1258	x_U,N,S,H,W,P,0	148.41	 
1262	x_U,N,S,H,W,P,4	4.59	 
1263	x_U,N,S,H,W,M,0	224.07	 
1267	x_U,N,S,H,W,M,4	6.93	 
1268	x_U,N,S,H,W,L,0	2133.03	 
1272	x_U,N,S,H,W,L,4	65.97	 
1276	x_U,N,S,H,C,S,3	468.51	 
1277	x_U,N,S,H,C,S,4	14.49	 
1281	x_U,N,S,H,C,P,3	174.6	 
1282	x_U,N,S,H,C,P,4	5.4	 
1286	x_U,N,S,H,C,M,3	314.28	 
1287	x_U,N,S,H,C,M,4	9.72	 
1288	x_U,N,S,H,C,L,0	4155.48	 
1292	x_U,N,S,H,C,L,4	128.52	 
1295	x_U,N,S,H,A,S,2	182.36	 
1297	x_U,N,S,H,A,S,4	5.64	 
